PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;102;83;28079102_83_98;2022;02;01;5.1;V;4.8;V;4.6;V;4.7;V;4.5;V;4.4;V;4;V;3.7;V;3.6;V;4.7;V;6.2;V;8;V;10.8;V;12;V;12.7;V;13;V;12.6;V;12.3;V;10.8;V;9.9;V;9.1;V;8.8;V;7.7;V;6.9;V
28;079;102;83;28079102_83_98;2022;02;02;6;V;5.3;V;5.7;V;6.2;V;5.6;V;4.7;V;4.8;V;5.1;V;4.6;V;5.4;V;7.7;V;9.3;V;12.1;V;14.5;V;16.3;V;18;V;17.2;V;17;V;15;V;12.9;V;11.8;V;10.9;V;9.6;V;8.4;V
28;079;102;83;28079102_83_98;2022;02;03;7.6;V;7.3;V;5.3;V;4.3;V;3.4;V;3.3;V;3.1;V;2.8;V;2.3;V;4;V;5.8;V;8.4;V;10.7;V;12;V;13.3;V;14.5;V;13.9;V;13.9;V;12.7;V;11.6;V;10.2;V;9;V;7.3;V;7.2;V
28;079;102;83;28079102_83_98;2022;02;04;6.7;V;6.6;V;5.4;V;5;V;4.9;V;4.5;V;4.3;V;4.2;V;3.6;V;4.6;V;5.8;V;6.2;V;7.7;V;8.2;V;10.2;V;10.5;V;10.7;V;10.4;V;9.8;V;9.4;V;9.1;V;8.5;V;8;V;7.1;V
28;079;102;83;28079102_83_98;2022;02;05;5.9;V;5.4;V;4.6;V;4.6;V;4.7;V;4.3;V;4.1;V;3.9;V;3.9;V;4.3;V;5.5;V;6.9;V;8.3;V;9.3;V;9.8;V;10.6;V;11.2;V;10.8;V;10.1;V;9.2;V;8.2;V;7.7;V;6.1;V;4.5;V
28;079;102;83;28079102_83_98;2022;02;06;3.6;V;2.9;V;2.3;V;2.2;V;1.9;V;1.4;V;1.1;V;0.6;V;0.5;V;1.7;V;3.6;V;5.4;V;7.8;V;9.1;V;11.2;V;11.9;V;11.7;V;10.8;V;10.2;V;9.6;V;9.3;V;8.5;V;7.1;V;6.1;V
28;079;102;83;28079102_83_98;2022;02;07;5.9;V;5.5;V;4.2;V;2;V;2.3;V;1.8;V;2.1;V;2.6;V;2.7;V;4.1;V;6.5;V;8.9;V;10.1;V;12.2;V;13.6;V;14.3;V;14.7;V;14.3;V;13.2;V;11.5;V;9.9;V;8.6;V;7.2;V;5.7;V
28;079;102;83;28079102_83_98;2022;02;08;5.2;V;4.7;V;4.4;V;3.9;V;3.2;V;2.9;V;2.7;V;2.2;V;2.4;V;3.5;V;5.4;V;7.6;V;9.6;V;10.4;V;12.1;V;13.1;V;13.6;V;13.3;V;12.7;V;11.6;V;11;V;9.9;V;9;V;9.2;V
28;079;102;83;28079102_83_98;2022;02;09;8.1;V;6;V;4.9;V;4;V;3.5;V;3.3;V;3;V;2.5;V;2.9;V;5.2;V;6.5;V;7.8;V;9.7;V;10.5;V;11.6;V;12.4;V;11.6;V;11.2;V;10.7;V;10;V;9.6;V;9.3;V;8.5;V;7.3;V
28;079;102;83;28079102_83_98;2022;02;10;6.5;V;5.8;V;5.8;V;4.2;V;3.5;V;2.5;V;2.2;V;1.7;V;2;V;3.2;V;5.5;V;7.5;V;10.1;V;10.9;V;12.2;V;13.4;V;13.6;V;13;V;12;V;11.1;V;10.5;V;9.9;V;9.6;V;8.9;V
